2024-02-10 11:13:29,252 INFO    StreamThr :76289 [internal.py:wandb_internal():86] W&B internal server running at pid: 76289, started at: 2024-02-10 11:13:29.251046
2024-02-10 11:14:24,949 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:25,561 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:26,228 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:29,966 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:30,584 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:31,280 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:34,159 DEBUG   SenderThread:76289 [sender.py:send():382] send: stats
2024-02-10 11:14:34,983 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:35,602 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:37,166 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:40,013 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:40,622 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:42,204 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:45,030 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:45,643 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:46,260 INFO    StreamThr :76289 [internal.py:wandb_internal():86] W&B internal server running at pid: 76289, started at: 2024-02-10 11:14:46.259806
2024-02-10 11:14:46,261 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status
2024-02-10 11:14:46,279 INFO    WriterThread:76289 [datastore.py:open_for_write():87] open: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111446-j4iqub79/run-j4iqub79.wandb
2024-02-10 11:14:46,280 DEBUG   SenderThread:76289 [sender.py:send():382] send: header
2024-02-10 11:14:46,357 DEBUG   SenderThread:76289 [sender.py:send():382] send: run
2024-02-10 11:14:46,862 INFO    SenderThread:76289 [dir_watcher.py:__init__():211] watching files in: /Users/lihongxuan/Desktop/AIPI/Courses/AIPI540/AIPI-540/classifier/wandb/run-20240210_111446-j4iqub79/files
2024-02-10 11:14:46,862 INFO    SenderThread:76289 [sender.py:_start_run_threads():1136] run started: j4iqub79 with start time 1707581686.259438
2024-02-10 11:14:47,221 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:50,049 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:50,661 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:51,399 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: keepalive
2024-02-10 11:14:51,884 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
2024-02-10 11:14:52,236 DEBUG   HandlerThread:76289 [handler.py:handle_request():146] handle_request: status_report
